linea,secuencia,estacion,es_correspondencia,lineas_conectadas,tiempo_medio_tramo_linea_min
1,1,Observatorio,no,,2.368
1,2,Tacubaya,si,"1,7,9",2.368
1,3,Juanacatlán,no,,2.368
1,4,Chapultepec,no,,2.368
1,5,Sevilla,no,,2.368
1,6,Insurgentes,no,,2.368
1,7,Cuauhtémoc,no,,2.368
1,8,Balderas,si,"1,3",2.368
1,9,Salto del Agua,si,"1,8",2.368
1,10,Isabel la Católica,no,,2.368
1,11,Pino Suárez,si,"1,2",2.368
1,12,Merced,no,,2.368
1,13,Candelaria,si,"1,4",2.368
1,14,San Lázaro,si,"1,B",2.368
1,15,Moctezuma,no,,2.368
1,16,Balbuena,no,,2.368
1,17,Boulevard Puerto Aéreo,no,,2.368
1,18,Gómez Farías,no,,2.368
1,19,Zaragoza,no,,2.368
1,20,Pantitlán,si,"1,5,9,A",2.368
2,1,Cuatro Caminos,no,,2.391
2,2,Panteones,no,,2.391
2,3,Tacuba,si,"2,7",2.391
2,4,Cuitláhuac,no,,2.391
2,5,Popotla,no,,2.391
2,6,Colegio Militar,no,,2.391
2,7,Normal,no,,2.391
2,8,San Cosme,no,,2.391
2,9,Revolución,no,,2.391
2,10,Hidalgo,si,"2,3",2.391
2,11,Bellas Artes,si,"2,8",2.391
2,12,Allende,no,,2.391
2,13,Zócalo/Tenochtitlan,no,,2.391
2,14,Pino Suárez,si,"1,2",2.391
2,15,San Antonio Abad,no,,2.391
2,16,Chabacano,si,"2,8,9",2.391
2,17,Viaducto,no,,2.391
2,18,Xola,no,,2.391
2,19,Villa de Cortés,no,,2.391
2,20,Nativitas,no,,2.391
2,21,Portales,no,,2.391
2,22,Ermita,si,"2,12",2.391
2,23,General Anaya,no,,2.391
2,24,Tasqueña,no,,2.391
3,1,Indios Verdes,no,,2.8
3,2,Deportivo 18 de Marzo,si,"3,6",2.8
3,3,Potrero,no,,2.8
3,4,La Raza,si,"3,5",2.8
3,5,Tlatelolco,no,,2.8
3,6,Guerrero,si,"3,B",2.8
3,7,Hidalgo,si,"2,3",2.8
3,8,Juárez,no,,2.8
3,9,Balderas,si,"1,3",2.8
3,10,Niños Héroes/Poder Judicial CDMX,no,,2.8
3,11,Hospital General,no,,2.8
3,12,Centro Médico,si,"3,9",2.8
3,13,Etiopía/Plaza de la Transparencia,no,,2.8
3,14,Eugenia,no,,2.8
3,15,División del Norte,no,,2.8
3,16,Zapata,si,"3,12",2.8
3,17,Coyoacán,no,,2.8
