linea_origen,1,2,3,4,5,6,7,8,9,A,B,12
1,17.2,34.7,35.3,28.4,36.9,51.9,42.2,35.6,29.6,46.5,32.5,54.0
2,34.7,19.7,34.1,39.7,44.5,48.9,39.1,31.3,33.2,63.4,44.7,43.8
3,35.3,34.1,21.2,38.0,40.1,45.6,43.9,40.0,35.0,64.1,45.4,42.3
4,28.4,39.7,38.0,11.3,26.1,37.5,55.4,31.2,28.8,50.0,27.6,54.7
5,36.9,44.5,40.1,26.1,14.7,30.8,58.9,45.7,40.3,41.5,28.4,66.1
6,51.9,48.9,45.6,37.5,30.8,15.8,47.0,61.4,55.2,69.8,50.6,75.8
7,42.2,39.1,43.9,55.4,58.9,47.0,16.5,47.2,39.4,77.9,61.2,49.1
8,35.6,31.3,40.0,31.2,45.7,61.4,47.2,19.7,32.2,63.4,45.6,35.0
9,29.6,33.2,35.0,28.8,40.3,55.2,39.4,32.2,16.1,42.0,40.6,48.1
A,46.5,63.4,64.1,50.0,41.5,69.8,77.9,63.4,42.0,13.0,49.3,81.6
B,32.5,44.7,45.4,27.6,28.4,50.6,61.2,45.6,40.6,49.3,16.3,69.5
12,54.0,43.8,42.3,54.7,66.1,75.8,49.1,35.0,48.1,81.6,69.5,16.3
