linea_origen,linea_destino,viajes_considerados,tiempo_min_min,tiempo_promedio_min,tiempo_mediana_min,tiempo_max_min,transbordos_promedio
1,1,380,5.37,19.58,17.21,48.0,0
1,2,480,9.0,33.75,34.7,61.4,1.29
1,3,420,9.0,35.56,35.27,68.65,1.23
1,4,200,9.0,28.89,28.36,54.09,1.06
1,5,260,9.0,36.49,36.95,56.29,1.72
1,6,220,31.67,51.54,51.91,72.59,2.44
1,7,280,9.0,41.55,42.16,73.79,1.23
1,8,380,9.0,36.57,35.56,67.69,1.51
1,9,240,9.0,30.21,29.6,47.8,1.39
1,A,200,9.0,46.44,46.5,83.37,1.1
1,B,420,9.0,33.79,32.53,68.49,1.15
1,12,400,25.15,53.56,54.05,83.72,2.05
2,1,480,9.0,33.75,34.7,61.4,1.29
2,2,552,5.39,22.93,19.74,58.0,0
2,3,504,9.0,35.24,34.14,69.72,1.3
2,4,240,18.27,39.9,39.69,64.63,2.25
2,5,312,23.4,45.2,44.49,67.56,2.31
2,6,264,28.54,50.9,48.85,81.96,2.38
2,7,336,9.0,38.53,39.08,72.76,1.36
2,8,456,9.0,34.22,31.29,78.2,1.13
2,9,288,9.0,33.4,33.17,64.51,1.14
2,A,240,34.64,63.37,63.38,97.4,2
2,B,504,17.78,44.95,44.72,78.27,2
2,12,480,9.0,43.74,43.78,87.95,1.1
3,1,420,9.0,35.56,35.27,68.65,1.23
3,2,504,9.0,35.24,34.14,69.72,1.3
3,3,420,5.8,23.53,21.2,59.0,0
3,4,210,21.4,40.17,37.97,72.24,2
3,5,273,9.0,40.3,40.15,73.4,1.23
3,6,231,9.0,45.56,45.63,84.43,1.59
3,7,294,21.63,44.57,43.88,76.25,2.01
3,8,399,17.05,41.06,39.99,79.16,2
3,9,252,9.0,34.67,35.05,60.38,1.21
3,A,210,41.18,64.39,64.09,96.38,2.1
3,B,441,9.0,45.65,45.4,89.95,1
3,12,420,9.0,42.69,42.31,86.37,1
4,1,200,9.0,28.89,28.36,54.09,1.06
4,2,240,18.27,39.9,39.69,64.63,2.25
4,3,210,21.4,40.17,37.97,72.24,2
4,4,90,5.78,13.19,11.33,28.0,0
4,5,130,9.0,25.61,26.08,43.17,1.17
4,6,110,9.0,37.26,37.5,65.45,1.45
4,7,140,34.64,54.62,55.36,70.4,2.22
4,8,190,9.0,32.75,31.22,61.78,1.21
4,9,120,9.0,28.85,28.79,50.86,1.07
4,A,100,31.36,49.75,49.99,70.83,2
4,B,210,9.0,29.12,27.58,53.64,1
4,12,200,31.67,54.78,54.75,80.98,2.31
5,1,260,9.0,36.49,36.95,56.29,1.72
5,2,312,23.4,45.2,44.49,67.56,2.31
5,3,273,9.0,40.3,40.15,73.4,1.23
5,4,130,9.0,25.61,26.08,43.17,1.17
5,5,156,5.92,16.61,14.67,38.0,0
5,6,143,9.0,31.96,30.83,60.28,1.21
5,7,182,34.2,58.39,58.9,73.05,2.62
5,8,247,28.65,48.14,45.69,76.94,2.37
5,9,156,9.0,38.03,40.32,55.97,1.5
5,A,130,9.0,41.5,41.5,74.0,1
5,B,273,9.0,29.36,28.44,57.8,1.18
5,12,260,48.6,68.11,66.14,92.72,2.67
6,1,220,31.67,51.54,51.91,72.59,2.44
6,2,264,28.54,50.9,48.85,81.96,2.38
6,3,231,9.0,45.56,45.63,84.43,1.59
6,4,110,9.0,37.26,37.5,65.45,1.45
6,5,143,9.0,31.96,30.83,60.28,1.21
6,6,110,6.2,15.8,15.8,35.0,0
6,7,154,9.0,45.81,47.0,74.75,1.3
6,8,209,34.25,62.31,61.43,93.61,2.93
6,9,132,37.22,55.23,55.25,72.83,2.33
6,A,110,46.83,69.25,69.81,96.28,2.27
6,B,231,26.2,50.52,50.63,80.08,2.21
6,12,220,54.2,77.0,75.8,105.4,2.46
7,1,280,9.0,41.55,42.16,73.79,1.23
7,2,336,9.0,38.53,39.08,72.76,1.36
7,3,294,21.63,44.57,43.88,76.25,2.01
7,4,140,34.64,54.62,55.36,70.4,2.22
7,5,182,34.2,58.39,58.9,73.05,2.62
7,6,154,9.0,45.81,47.0,74.75,1.3
7,7,182,6.38,19.92,16.54,47.0,0
7,8,266,31.36,50.41,47.18,84.41,2
7,9,168,9.0,40.28,39.41,72.28,1.01
7,A,140,51.0,78.47,77.9,105.67,2.14
7,B,294,40.54,62.57,61.2,89.47,2.54
7,12,280,9.0,49.1,49.13,91.62,1
8,1,380,9.0,36.57,35.56,67.69,1.51
8,2,456,9.0,34.22,31.29,78.2,1.13
8,3,399,17.05,41.06,39.99,79.16,2
8,4,190,9.0,32.75,31.22,61.78,1.21
8,5,247,28.65,48.14,45.69,76.94,2.37
8,6,209,34.25,62.31,61.43,93.61,2.93
8,7,266,31.36,50.41,47.18,84.41,2
8,8,342,5.78,21.52,19.67,53.0,0
8,9,228,9.0,33.23,32.21,61.92,1.32
8,A,190,34.64,63.34,63.44,97.92,2.68
8,B,399,9.0,45.47,45.56,84.64,1.62
8,12,380,9.0,36.1,35.02,72.2,1.19
9,1,240,9.0,30.21,29.6,47.8,1.39
9,2,288,9.0,33.4,33.17,64.51,1.14
9,3,252,9.0,34.67,35.05,60.38,1.21
9,4,120,9.0,28.85,28.79,50.86,1.07
9,5,156,9.0,38.03,40.32,55.97,1.5
9,6,132,37.22,55.23,55.25,72.83,2.33
9,7,168,9.0,40.28,39.41,72.28,1.01
9,8,228,9.0,33.23,32.21,61.92,1.32
9,9,132,6.27,17.18,16.09,39.0,0
9,A,120,9.0,42.0,42.0,75.0,1
9,B,252,23.33,42.46,40.61,72.12,2
9,12,240,25.15,48.29,48.09,77.72,2
A,1,200,9.0,46.44,46.5,83.37,1.1
A,2,240,34.64,63.37,63.38,97.4,2
A,3,210,41.18,64.39,64.09,96.38,2.1
A,4,100,31.36,49.75,49.99,70.83,2
A,5,130,9.0,41.5,41.5,74.0,1
A,6,110,46.83,69.25,69.81,96.28,2.27
A,7,140,51.0,78.47,77.9,105.67,2.14
A,8,190,34.64,63.34,63.44,97.92,2.68
A,9,120,9.0,42.0,42.0,75.0,1
A,A,90,6.33,15.22,13.0,33.0,0
A,B,210,23.75,49.36,49.3,76.3,2
A,12,200,54.98,81.72,81.64,113.72,3
B,1,420,9.0,33.79,32.53,68.49,1.15
B,2,504,17.78,44.95,44.72,78.27,2
B,3,441,9.0,45.65,45.4,89.95,1
B,4,210,9.0,29.12,27.58,53.64,1
B,5,273,9.0,29.36,28.44,57.8,1.18
B,6,231,26.2,50.52,50.63,80.08,2.21
B,7,294,40.54,62.57,61.2,89.47,2.54
B,8,399,9.0,45.47,45.56,84.64,1.62
B,9,252,23.33,42.46,40.61,72.12,2
B,A,210,23.75,49.36,49.3,76.3,2
B,B,420,5.05,18.03,16.33,44.0,0
B,12,420,43.0,69.26,69.48,103.84,2.72
12,1,400,25.15,53.56,54.05,83.72,2.05
12,2,480,9.0,43.74,43.78,87.95,1.1
12,3,420,9.0,42.69,42.31,86.37,1
12,4,200,31.67,54.78,54.75,80.98,2.31
12,5,260,48.6,68.11,66.14,92.72,2.67
12,6,220,54.2,77.0,75.8,105.4,2.46
12,7,280,9.0,49.1,49.13,91.62,1
12,8,380,9.0,36.1,35.02,72.2,1.19
12,9,240,25.15,48.29,48.09,77.72,2
12,A,200,54.98,81.72,81.64,113.72,3
12,B,420,43.0,69.26,69.48,103.84,2.72
12,12,380,5.21,18.47,16.26,45.0,0
