id,linea_origen,estacion_origen,linea_destino,estacion_destino,ruta_lineas,estaciones_transbordo,num_transbordos,num_tramos_estacion,tiempo_en_tren_min,tiempo_caminata_transbordo_min,tiempo_espera_transbordo_min,espera_inicial_min,tiempo_total_estimado_min,ruta_estaciones,tipo_estimacion
1,1,Observatorio,1,Tacubaya,1,,0,1,2.37,0.0,0.0,3.0,5.37,Observatorio > Tacubaya,Estimación modelada
2,1,Observatorio,1,Juanacatlán,1,,0,2,4.74,0.0,0.0,3.0,7.74,Observatorio > Tacubaya > Juanacatlán,Estimación modelada
3,1,Observatorio,1,Chapultepec,1,,0,3,7.11,0.0,0.0,3.0,10.11,Observatorio > Tacubaya > Juanacatlán > Chapultepec,Estimación modelada
4,1,Observatorio,1,Sevilla,1,,0,4,9.47,0.0,0.0,3.0,12.47,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla,Estimación modelada
5,1,Observatorio,1,Insurgentes,1,,0,5,11.84,0.0,0.0,3.0,14.84,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes,Estimación modelada
6,1,Observatorio,1,Cuauhtémoc,1,,0,6,14.21,0.0,0.0,3.0,17.21,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc,Estimación modelada
7,1,Observatorio,1,Balderas,1,,0,7,16.58,0.0,0.0,3.0,19.58,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas,Estimación modelada
8,1,Observatorio,1,Salto del Agua,1,,0,8,18.95,0.0,0.0,3.0,21.95,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua,Estimación modelada
9,1,Observatorio,1,Isabel la Católica,1,,0,9,21.32,0.0,0.0,3.0,24.32,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica,Estimación modelada
10,1,Observatorio,1,Pino Suárez,1,,0,10,23.68,0.0,0.0,3.0,26.68,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez,Estimación modelada
11,1,Observatorio,1,Merced,1,,0,11,26.05,0.0,0.0,3.0,29.05,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced,Estimación modelada
12,1,Observatorio,1,Candelaria,1,,0,12,28.42,0.0,0.0,3.0,31.42,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria,Estimación modelada
13,1,Observatorio,1,San Lázaro,1,,0,13,30.79,0.0,0.0,3.0,33.79,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro,Estimación modelada
14,1,Observatorio,1,Moctezuma,1,,0,14,33.16,0.0,0.0,3.0,36.16,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro > Moctezuma,Estimación modelada
15,1,Observatorio,1,Balbuena,1,,0,15,35.53,0.0,0.0,3.0,38.53,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro > Moctezuma > Balbuena,Estimación modelada
16,1,Observatorio,1,Boulevard Puerto Aéreo,1,,0,16,37.89,0.0,0.0,3.0,40.89,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro > Moctezuma > Balbuena > Boulevard Puerto Aéreo,Estimación modelada
17,1,Observatorio,1,Gómez Farías,1,,0,17,40.26,0.0,0.0,3.0,43.26,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro > Moctezuma > Balbuena > Boulevard Puerto Aéreo > Gómez Farías,Estimación modelada
18,1,Observatorio,1,Zaragoza,1,,0,18,42.63,0.0,0.0,3.0,45.63,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro > Moctezuma > Balbuena > Boulevard Puerto Aéreo > Gómez Farías > Zaragoza,Estimación modelada
19,1,Observatorio,1,Pantitlán,1,,0,19,45.0,0.0,0.0,3.0,48.0,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Merced > Candelaria > San Lázaro > Moctezuma > Balbuena > Boulevard Puerto Aéreo > Gómez Farías > Zaragoza > Pantitlán,Estimación modelada
20,1,Observatorio,2,Cuatro Caminos,1 > 7 > 2,Tacubaya > Tacuba,2,8,24.07,6.0,6.0,3.0,39.07,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba > Panteones > Cuatro Caminos,Estimación modelada
21,1,Observatorio,2,Panteones,1 > 7 > 2,Tacubaya > Tacuba,2,7,21.68,6.0,6.0,3.0,36.68,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba > Panteones,Estimación modelada
22,1,Observatorio,2,Tacuba,1 > 7 > 2,Tacubaya > Tacuba,2,6,19.29,6.0,6.0,3.0,34.29,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba,Estimación modelada
23,1,Observatorio,2,Cuitláhuac,1 > 7 > 2,Tacubaya > Tacuba,2,7,21.68,6.0,6.0,3.0,36.68,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba > Cuitláhuac,Estimación modelada
24,1,Observatorio,2,Popotla,1 > 7 > 2,Tacubaya > Tacuba,2,8,24.07,6.0,6.0,3.0,39.07,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba > Cuitláhuac > Popotla,Estimación modelada
25,1,Observatorio,2,Colegio Militar,1 > 7 > 2,Tacubaya > Tacuba,2,9,26.47,6.0,6.0,3.0,41.47,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba > Cuitláhuac > Popotla > Colegio Militar,Estimación modelada
26,1,Observatorio,2,Normal,1 > 7 > 2,Tacubaya > Tacuba,2,10,28.86,6.0,6.0,3.0,43.86,Observatorio > Tacubaya > Constituyentes > Auditorio > Polanco > San Joaquín > Tacuba > Cuitláhuac > Popotla > Colegio Militar > Normal,Estimación modelada
27,1,Observatorio,2,San Cosme,1 > 3 > 2,Balderas > Hidalgo,2,11,26.96,6.0,6.0,3.0,41.96,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Juárez > Hidalgo > Revolución > San Cosme,Estimación modelada
28,1,Observatorio,2,Revolución,1 > 3 > 2,Balderas > Hidalgo,2,10,24.57,6.0,6.0,3.0,39.57,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Juárez > Hidalgo > Revolución,Estimación modelada
29,1,Observatorio,2,Hidalgo,1 > 3 > 2,Balderas > Hidalgo,2,9,22.18,6.0,6.0,3.0,37.18,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Juárez > Hidalgo,Estimación modelada
30,1,Observatorio,2,Bellas Artes,1 > 8 > 2,Salto del Agua > Bellas Artes,2,10,24.5,6.0,6.0,3.0,39.5,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > San Juan de Letrán > Bellas Artes,Estimación modelada
31,1,Observatorio,2,Allende,1 > 2,Pino Suárez,1,12,28.47,3.0,3.0,3.0,37.47,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Zócalo/Tenochtitlan > Allende,Estimación modelada
32,1,Observatorio,2,Zócalo/Tenochtitlan,1 > 2,Pino Suárez,1,11,26.08,3.0,3.0,3.0,35.08,Observatorio > Tacubaya > Juanacatlán > Chapultepec > Sevilla > Insurgentes > Cuauhtémoc > Balderas > Salto del Agua > Isabel la Católica > Pino Suárez > Zócalo/Tenochtitlan,Estimación modelada
